Source,Target,Weight
81,46,0.3849001794597506
81,51,0.6324555320336759
81,69,0.3849001794597505
81,76,0.44721359549995787
82,539,0.45291081365783836
82,558,0.4193139346887673
82,595,0.5547001962252291
82,637,0.4193139346887673
83,605,0.408248290463863
85,499,0.39223227027636803
86,736,0.4364357804719847
86,824,0.4008918628686365
87,26,0.4082482904638631
87,47,1.0
87,353,0.7071067811865475
87,843,0.5773502691896258
89,783,0.4082482904638631
89,785,0.46291004988627577
90,52,0.3779644730092272
90,67,0.45584230583855173
90,69,0.4364357804719848
90,915,0.3779644730092272
91,66,0.4999999999999999
92,1,0.5477225575051662
92,2,0.5000000000000001
92,3,0.545544725589981
92,14,0.408248290463863
92,17,0.4082482904638631
92,52,0.4082482904638631
92,54,0.4351941398892446
92,65,0.521749194749951
92,68,0.4714045207910318
92,93,0.7302967433402215
92,98,0.5000000000000001
92,99,0.9428090415820636
92,104,0.4082482904638631
92,106,0.4082482904638631
92,141,0.492365963917331
92,174,0.46291004988627577
92,208,0.5443310539518174
92,235,0.39605901719066977
92,279,0.3746343246326776
92,283,0.5773502691896258
92,314,0.4082482904638631
92,317,0.4216370213557839
92,320,0.43301270189221935
92,325,0.6123724356957946
92,326,0.5000000000000001
92,327,0.5000000000000001
92,328,0.408248290463863
92,329,0.6123724356957946
92,332,0.5163977794943223
92,338,0.545544725589981
92,339,0.6123724356957946
92,347,0.4082482904638631
92,349,0.4714045207910318
92,357,0.4082482904638631
92,359,0.5773502691896258
